GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.nttdata.accountservice,AccountServiceApplication,5,3,0,0,2,1,1,1,1,1
account-service,com.nttdata.accountservice.generated.model,CreateAccountRequest,204,42,18,0,39,18,19,11,10,11
account-service,com.nttdata.accountservice.generated.model,UpdateAccountRequest.StatusEnum,68,0,4,0,13,0,7,0,5,0
account-service,com.nttdata.accountservice.generated.model,BalanceOperationRequest.OperationTypeEnum,61,0,4,0,12,0,7,0,5,0
account-service,com.nttdata.accountservice.generated.model,AccountResponse,320,73,28,0,53,31,28,21,14,21
account-service,com.nttdata.accountservice.generated.model,CreateAccountRequest.AccountTypeEnum,11,50,2,2,2,10,3,4,1,4
account-service,com.nttdata.accountservice.generated.model,UpdateAccountRequest,89,0,8,0,25,0,13,0,9,0
account-service,com.nttdata.accountservice.generated.model,BalanceOperationRequest,167,0,14,0,41,0,22,0,15,0
account-service,com.nttdata.accountservice.api.dto,AccountOperationRequestDto,132,24,30,0,0,4,19,7,4,7
account-service,com.nttdata.accountservice.api.dto,AccountResponseDto,365,73,86,0,0,11,47,21,4,21
account-service,com.nttdata.accountservice.api.dto,AccountCreateRequestDto,198,38,46,0,0,6,27,11,4,11
account-service,com.nttdata.accountservice.api.dto,AccountCacheDto.AccountCacheDtoBuilder,28,0,0,0,1,0,5,0,5,0
account-service,com.nttdata.accountservice.api.dto,AccountCacheDto,109,0,20,0,4,0,17,0,7,0
account-service,com.nttdata.accountservice.api.dto,AccountEventAvroDto,204,22,44,0,6,1,30,2,8,2
account-service,com.nttdata.accountservice.api.dto,AccountUpdateRequestDto,75,0,14,0,2,0,14,0,7,0
account-service,com.nttdata.accountservice.api.dto,AccountEventAvroDto.AccountEventAvroDtoBuilder,13,42,0,0,0,1,1,7,1,7
account-service,com.nttdata.accountservice.domain.port,AccountRecord,0,33,0,0,0,1,0,1,0,1
account-service,com.nttdata.accountservice.domain.mapper,AccountMapper,77,209,9,7,20,52,11,5,3,5
account-service,com.nttdata.accountservice.domain.service.impl,AccountServiceImpl,275,283,6,4,51,65,27,18,22,18
account-service,com.nttdata.accountservice.generated.api,ApiUtil,25,0,0,0,6,0,2,0,2,0
account-service,com.nttdata.accountservice.generated.api,AccountsApi.new AccountsApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
account-service,com.nttdata.accountservice.generated.api,AccountsApiController.new AccountsApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
account-service,com.nttdata.accountservice.generated.api,AccountsApi,37,6,0,0,6,1,6,1,6,1
account-service,com.nttdata.accountservice.generated.api,AccountsApiDelegate,214,0,20,0,49,0,17,0,7,0
account-service,com.nttdata.accountservice.generated.api,AccountsApiController,0,16,0,0,0,4,0,2,0,2
account-service,com.nttdata.accountservice.infrastructure.decorator,LoggingAccountUseCaseDecorator,83,10,0,0,13,2,6,2,6,2
account-service,com.nttdata.accountservice.infrastructure.client,CustomerValidationWebClientAdapter,13,102,4,6,2,20,3,8,0,6
account-service,com.nttdata.accountservice.security,JwtAuthenticationWebFilter,30,91,6,4,7,20,5,5,0,5
account-service,com.nttdata.accountservice.infrastructure.mongodb,AccountDocument,475,0,86,0,14,0,70,0,27,0
account-service,com.nttdata.accountservice.infrastructure.mongodb,MongoAccountDataInitializer,56,0,0,0,18,0,5,0,5,0
account-service,com.nttdata.accountservice.infrastructure.mongodb,AccountDocument.AccountDocumentBuilder,102,0,0,0,1,0,13,0,13,0
account-service,com.nttdata.accountservice.infrastructure.mongodb,MongoAccountRepositoryAdapter,103,6,0,0,29,1,8,1,8,1
account-service,com.nttdata.accountservice.infrastructure.kafka,KafkaProducerConfig,0,36,0,0,0,7,0,2,0,2
account-service,com.nttdata.accountservice.infrastructure.kafka,KafkaAccountEventPublisher,91,10,4,0,14,4,8,2,6,2
account-service,com.nttdata.accountservice.api,GlobalExceptionHandler,94,3,4,0,15,1,5,1,3,1
account-service,com.nttdata.accountservice.infrastructure.redis,RedisAccountCacheAdapter,58,6,0,0,13,1,6,1,6,1
account-service,com.nttdata.accountservice.domain.policy,AccountValidationPolicy,56,76,21,17,10,23,20,8,1,8
